dutch_name;scientific_name;observation_count
Geruite rondmondhoren;Pomatias elegans;1391
Getande agaathoren;Azeca goodalli;145
Struikslak;Fruticicola fruticum;3064
Korenkorrelslak;Abida secale;310
Haverkorrelslak;Chondrina avenacea;325
Grote clausilia;Alinda biplicata;10108
Vergeten schorshoren;Balea heydeni;255
Slanke schorshoren;Balea perversa;198
Vale clausilia;Clausilia bidentata;4984
Knotwilgslak;Clausilia dubia;18
Kleine clausilia;Clausilia rugosa;1090
Gladde clausilia;Cochlodina laminata;1997
;Laciniaria plicata;53
Geribde clausilia;Macrogastra attenuata;284
Geplooide clausilia;Macrogastra plicatula;60
Gekielde clausilia;Macrogastra rolphii;833
Buikige clausilia;Macrogastra ventricosa;39
Glanzende agaathoren;Cochlicopa lubrica;5324
Slanke agaathoren;Cochlicopa lubricella;279
Middelste agaathoren;Cochlicopa repentina;6
Boerenknoopje;Gonyodiscus rotundatus;8059
Plompe dwergslak;Carychium minimum;372
Slanke dwergslak;Carychium tridentatum;611
Grote torenslak;Ena montana;105
Donkere torenslak;Merdigera obscura;2426
Moeras-tolslak;Euconulus alderi;256
Gladde tolslak;Euconulus fulvus;452
Blindslakje;Cecilioides acicula;400
Bruine blinkslak;Aegopinella nitidula;4333
Kleine blinkslak;Aegopinella pura;470
Ammonshorentje;Perpolita hammonis;879
Grofgestreepte glimslak;Zonitoides excavatus;183
Donkere glimslak;Zonitoides nitidus;1522
Fijngeribde grasslak;Backeljaia gigaxii;216
E̩nbandige grasslak;Candidula unifasciata;161
Heideslak;Helicella itala;1943
Kleine pyramideslak;Xerocrassa geyeri;2
Grofgeribde grasslak;Xeroplexa intersecta;3992
Heesterslak;Arianta arbustorum;2655
Witgerande tuinslak;Cepaea hortensis;7513
Zwartgerande tuinslak;Cepaea nemoralis;47290
Segrijnslak;Cornu aspersum;62076
Steenbikker;Helicigona lapicida;1127
Gewone wijngaardslak;Helix pomatia;19364
Maskerslak;Isognomostoma isognomostomos;42
Aardschijfje;Lucilla scintilla;45
Opgerolde tandslak;Helicodonta obvoluta;1350
Grote kartuizerslak;Monacha cantiana;10130
Kleine kartuizerslak;Monacha cartusiana;2049
Bos-loofslak;Monachoides incarnatus;2254
Oever-loofslak;Pseudotrichia rubiginosa;86
Haarslak;Trochulus hispidus;10292
Rosse haarslak;Trochulus striolatus;1
Genaveld tonnetje;Lauria cylindracea;2090
Ovale poelslak;Ampullaceana balthica;1972
Leverbotslak;Galba truncatula;845
Gewone poelslak;Lymnaea stagnalis;3472
Kleverige poelslak;Myxas glutinosa;9
Slanke poelslak;Omphiscola glabra;217
Begroeide poelslak;Peregriana labiata;52
Oorvormige poelslak;Radix auricularia;459
Dikke poelslak;Stagnicola corvus;10
Moeraspoelslak;Stagnicola palustris;311
Vaatjesslak;Sphyradium doliolum;600
Kleine mutsnaaktslak;Daudebardia brevipes;11
Grote mutsnaaktslak;Daudebardia rufa;54
Look-glansslak;Oxychilus alliarius;1310
Kelder-glansslak;Oxychilus cellarius;1555
Grote glansslak;Oxychilus draparnaudi;7725
Zwitserse glansslak;Oxychilus navarricus;321
Kleine kristalslak;Vitrea contracta;439
Gewone kristalslak;Vitrea crystallina;453
Mostonnetje;Pupilla muscorum;901
Gestreept tonnetje;Pupilla sterri;4
Dwergpuntje;Punctum pygmaeum;436
Donkerbruin rotstolletje;Pyramidula pusilla;278
Slanke barnsteenslak;Oxyloma elegans;150
Tweeling-barnsteenslak;Oxyloma sarsii;10
Rode barnsteenslak;Quickella arenaria;17
Gewone barnsteenslak;Succinea putris;16308
Langwerpige barnsteenslak;Succinella oblonga;408
Stekelslakje;Acanthinula aculeata;305
Bijenkorfje;Spermodea lamellata;1
Geribde jachthorenslak;Vallonia costata;1898
Scheve jachthorenslak;Vallonia excentrica;808
Fraaie jachthorenslak;Vallonia pulchella;269
Ruwe korfslak;Columella aspera;119
Tandloze korfslak;Columella edentula;301
Zuidelijke korfslak;Truncatellina callicratis;15
Cylindrische korfslak;Truncatellina cylindrica;136
Nauwe korfslak;Vertigo angustior;195
Dikke korfslak;Vertigo antivertigo;398
Zegge-korfslak;Vertigo moulinsiana;400
Kleine korfslak;Vertigo pusilla;155
Dwerg-korfslak;Vertigo pygmaea;745
Gestreepte korfslak;Vertigo substriata;22
Oorvormige glasslak;Eucobresia diaphana;109
Grote glasslak;Phenacolimax major;1400
Doorschijnende glasslak;Vitrina pellucida;2102
Rijn-glasslak;Vitrinobrachium breve;24
;Elona quimperiana;1
;Aegopis verticillus;1
;Zonites algirus;1
Witte akkerslak;Deroceras agreste;13
Kleine akkerslak;Deroceras laeve;1070
