dutch_name,scientific name,group,date first observed,date last observed,number of observations,number of individuals,species type
Geruite rondmondhoren,Pomatias elegans,Mollusca (Weekdieren),1981-05-29,2025-11-06,1391,15815,soort
Getande agaathoren,Azeca goodalli,Mollusca (Weekdieren),1981-05-29,2025-08-18,145,274,soort
,Bradybaena similaris,Mollusca (Weekdieren),2025-07-13,2025-07-13,1,1,soort
Struikslak,Fruticicola fruticum,Mollusca (Weekdieren),1981-05-29,2025-11-01,3064,8674,soort
Korenkorrelslak,Abida secale,Mollusca (Weekdieren),1981-05-29,2025-10-30,310,1167,soort
Haverkorrelslak,Chondrina avenacea,Mollusca (Weekdieren),1981-05-29,2025-10-05,325,1260,soort
Grote clausilia,Alinda biplicata,Mollusca (Weekdieren),2002-12-08,2025-11-06,10108,32226,soort
Vergeten schorshoren,Balea heydeni,Mollusca (Weekdieren),2006-02-21,2025-11-01,255,1059,soort
Slanke schorshoren,Balea perversa,Mollusca (Weekdieren),1981-05-29,2025-10-30,198,1845,soort
Vale clausilia,Clausilia bidentata,Mollusca (Weekdieren),1981-05-29,2025-11-06,4984,14369,soort
Knotwilgslak,Clausilia dubia,Mollusca (Weekdieren),1923-04-03,2024-07-06,18,28,soort
Kleine clausilia,Clausilia rugosa,Mollusca (Weekdieren),1981-05-29,2025-11-04,1090,5869,soort
Gladde clausilia,Cochlodina laminata,Mollusca (Weekdieren),1981-05-29,2025-11-02,1997,2994,soort
,Laciniaria plicata,Mollusca (Weekdieren),2022-04-22,2025-11-04,53,142,soort
Geribde clausilia,Macrogastra attenuata,Mollusca (Weekdieren),1989-08-20,2025-10-29,284,476,soort
Geplooide clausilia,Macrogastra plicatula,Mollusca (Weekdieren),2015-04-02,2025-10-29,60,162,soort
Gekielde clausilia,Macrogastra rolphii,Mollusca (Weekdieren),1981-05-29,2025-11-04,833,1349,soort
Buikige clausilia,Macrogastra ventricosa,Mollusca (Weekdieren),1991-11-06,2025-05-02,39,76,soort
Glanzende agaathoren,Cochlicopa lubrica,Mollusca (Weekdieren),1981-04-12,2025-11-06,5324,10283,soort
Slanke agaathoren,Cochlicopa lubricella,Mollusca (Weekdieren),1981-05-29,2025-09-06,279,631,soort
Middelste agaathoren,Cochlicopa repentina,Mollusca (Weekdieren),2008-10-26,2023-05-04,6,9,soort
Boerenknoopje,Gonyodiscus rotundatus,Mollusca (Weekdieren),1981-04-12,2025-11-07,8059,21360,soort
Plompe dwergslak,Carychium minimum,Mollusca (Weekdieren),1991-03-21,2025-11-03,372,1370,soort
Slanke dwergslak,Carychium tridentatum,Mollusca (Weekdieren),1988-10-04,2025-11-05,611,2607,soort
Gewoon muizenoortje,Myosotella myosotis,Mollusca (Weekdieren),1968-03-21,2025-07-08,172,2301,soort
Grote torenslak,Ena montana,Mollusca (Weekdieren),1981-05-29,2025-05-30,105,179,soort
Donkere torenslak,Merdigera obscura,Mollusca (Weekdieren),1981-05-29,2025-11-06,2426,4455,soort
Moeras-tolslak,Euconulus alderi,Mollusca (Weekdieren),2005-05-27,2025-11-06,256,558,soort
Gladde tolslak,Euconulus fulvus,Mollusca (Weekdieren),1981-05-29,2025-10-21,452,611,soort
Blindslakje,Cecilioides acicula,Mollusca (Weekdieren),1981-05-29,2025-10-31,400,714,soort
Bruine blinkslak,Aegopinella nitidula,Mollusca (Weekdieren),1981-05-29,2025-11-06,4333,6555,soort
Kleine blinkslak,Aegopinella pura,Mollusca (Weekdieren),1981-05-29,2025-10-29,470,851,soort
Ammonshorentje,Perpolita hammonis,Mollusca (Weekdieren),1988-09-25,2025-11-05,879,1576,soort
Grofgestreepte glimslak,Zonitoides excavatus,Mollusca (Weekdieren),2000-07-20,2025-11-01,183,456,soort
Donkere glimslak,Zonitoides nitidus,Mollusca (Weekdieren),1981-04-12,2025-11-05,1522,5193,soort
Fijngeribde grasslak,Backeljaia gigaxii,Mollusca (Weekdieren),2002-09-23,2025-10-24,216,1261,soort
E̩nbandige grasslak,Candidula unifasciata,Mollusca (Weekdieren),2006-10-21,2025-08-08,161,2365,soort
